ECCode	DomainPattern	Weight
6.1.1.1	G3DSA:1.10.240.10	545.0
6.1.1.1	G3DSA:2.40.50.140	9.0
6.1.1.1	G3DSA:3.10.290.10	480.0
6.1.1.1	G3DSA:3.40.50.620	545.0
6.1.1.1	MF_02006	366.0
6.1.1.1	MF_02007	109.0
6.1.1.1	MF_02008	20.0
6.1.1.1	MF_02009	26.0
6.1.1.1	PB003820	2.0
6.1.1.1	PB004795	1.0
6.1.1.1	PB013257	6.0
6.1.1.1	PB018151	1.0
6.1.1.1	PF00579	554.0
6.1.1.1	PF01479	318.0
6.1.1.1	PF01588	9.0
6.1.1.1	PF13275	1.0
6.1.1.1	PIRSF006588	52.0
6.1.1.1	PR01040	2117.0
6.1.1.1	PS00178	381.0
6.1.1.1	PS50006	1.0
6.1.1.1	PS50886	9.0
6.1.1.1	PS50889	465.0
6.1.1.1	PTHR11766	484.0
6.1.1.1	PTHR11766:SF0	484.0
6.1.1.1	PTHR11946	61.0
6.1.1.1	PTHR11946:SF13	45.0
6.1.1.1	PTHR11946:SF8	16.0
6.1.1.1	SM00363	398.0
6.1.1.1	SSF50249	9.0
6.1.1.1	SSF52374	545.0
6.1.1.1	SSF55174	479.0
6.1.1.1	TIGR00234	532.0
6.1.1.10	G3DSA:1.10.287.10	4.0
6.1.1.10	G3DSA:1.10.730.10	513.0
6.1.1.10	G3DSA:1.20.1050.10	4.0
6.1.1.10	G3DSA:2.170.220.10	71.0
6.1.1.10	G3DSA:2.20.28.20	424.0
6.1.1.10	G3DSA:2.40.50.140	347.0
6.1.1.10	G3DSA:3.40.50.620	993.0
6.1.1.10	MF_00098	419.0
6.1.1.10	MF_01228	62.0
6.1.1.10	PF00458	4.0
6.1.1.10	PF01588	347.0
6.1.1.10	PF08264	180.0
6.1.1.10	PF09334	498.0
6.1.1.10	PF09635	1.0
6.1.1.10	PR01041	2968.0
6.1.1.10	PS00178	366.0
6.1.1.10	PS00762	4.0
6.1.1.10	PS50405	4.0
6.1.1.10	PS50886	347.0
6.1.1.10	PS51185	4.0
6.1.1.10	PS51257	11.0
6.1.1.10	PTHR11946	497.0
