@relation ec
@attribute C-H real
@attribute H-O real
@attribute C-O real
@attribute O=O real
@attribute H-N real
@attribute N-O real
@attribute C-S real
@attribute C real
@attribute H-S real
@attribute C-C real
@attribute C=O real
@attribute O-O real
@attribute S real
@attribute C real
@attribute Cl-H real
@attribute Cl-R real
@attribute S-S real
@attribute I-I real
@attribute C-I real
@attribute H-I real
@attribute C@C real
@attribute C-Cl real
@attribute C=C real
@attribute O-S real
@attribute O=S real
@attribute C@N real
@attribute C real
@attribute C#O real
@attribute Cl-O real
@attribute Cl=O real
@attribute C-N real
@attribute C=N real
@attribute O-P real
@attribute C@O real
@attribute N=O real
@attribute O=P real
@attribute P=S real
@attribute Br-C real
@attribute Br-H real
@attribute C real
@attribute Fe real
@attribute Co-O real
@attribute N-N real
@attribute C-Co real
@attribute As=O real
@attribute N=N real
@attribute H-Se real
@attribute O-Se real
@attribute O=Se real
@attribute C-Se real
@attribute Co real
@attribute As-C real
@attribute C-F real
@attribute C-R real
@attribute O-R real
@attribute N-R real
@attribute R-R real
@attribute R-S real
@attribute N-P real
@attribute O real
@attribute C-P real
@attribute H-P real
@attribute Co-N real
@attribute C=S real
@attribute N-S real
@attribute P=Se real
@attribute F-H real
@attribute F-P real
@attribute C#N real
@attribute Hg-R real
@attribute C-Hg real
@attribute O real
@attribute ec { 6.1.1.1_22506,6.1.1.10_23160,6.1.1.10_24119,6.1.1.11_23163,6.1.1.11_27331,6.1.1.12_24805,6.1.1.13_22332,6.1.1.14_23155,6.1.1.15_23162,6.1.1.16_23152,6.1.1.17_24806,6.1.1.18_23154,6.1.1.19_23149,6.1.1.1_22506,6.1.1.20_23161,6.1.1.21_23156,6.1.1.22_23151,6.1.1.23_23150,6.1.1.23_24805,6.1.1.24_23153,6.1.1.24_24806,6.1.1.25_26766,6.1.1.26_27684,6.1.1.2_23165,6.1.1.4_23158,6.1.1.5_23157,6.1.1.6_23159,6.1.1.7_22614,6.1.1.9_23166,6.2.1.-_22314,6.2.1.-_24695,6.2.1.-_24696,6.2.1.-_24847,6.2.1.-_25606,6.2.1.-_25607,6.2.1.-_26099,6.2.1.-_27005,6.2.1.-_27204,6.2.1.-_27994,6.2.1.-_28330,6.2.1.11_20922,6.2.1.11_20923,6.2.1.11_23250,6.2.1.12_21391,6.2.1.12_21661,6.2.1.12_21868,6.2.1.12_21892,6.2.1.12_21925,6.2.1.12_25764,6.2.1.14_22765,6.2.1.15_21379,6.2.1.16_21173,6.2.1.17_20795,6.2.1.17_20796,6.2.1.17_21171,6.2.1.1_20198,6.2.1.1_20199,6.2.1.1_20266,6.2.1.1_20795,6.2.1.1_20796,6.2.1.1_21171,6.2.1.20_21214,6.2.1.22_23847,6.2.1.23_23596,6.2.1.24_23135,6.2.1.25_21230,6.2.1.26_23485,6.2.1.27_21119,6.2.1.28_23898,6.2.1.2_21008,6.2.1.30_22173,6.2.1.31_22568,6.2.1.32_20844,6.2.1.32_26556,6.2.1.33_23399,6.2.1.33_27233,6.2.1.36_28337,6.2.1.3_21100,6.2.1.7_22398,6.2.1.7_23898,6.2.1.7_23959,6.2.1.7_27826,6.2.1.7_27829,6.2.1.7_27832,6.2.1.8_21342,6.3.1.1_20415,6.3.1.5_20159,6.3.1.7_22325,6.3.2.11_20780,6.3.2.11_20782,6.3.2.11_20998,6.3.2.11_21698,6.3.2.11_22834,6.3.2.1_22119,6.3.2.24_20633,6.3.2.25_24084,6.3.2.26_24198,6.3.2.36_28429,6.3.2.5_23661,6.3.2.5_23662,6.3.3.4_24706,6.3.4.10_20922,6.3.4.10_23961,6.3.4.10_24413,6.3.4.11_20922,6.3.4.11_23981,6.3.4.11_24413,6.3.4.15_20922,6.3.4.15_23944,6.3.4.15_24413,6.3.4.1_21056,6.3.4.5_21667,6.3.4.9_20922,6.3.4.9_23945,6.3.4.9_24413,6.3.5.1_20159,6.3.5.1_20212,6.3.5.2_21056,6.3.5.2_21057,6.3.5.2_27357,6.3.5.4_20211,6.3.5.4_20415,6.3.5.4_20497,6.3.5.5_20211,6.4.-.-_24412,6.4.1.-_24697,6.4.1.-_24830,6.4.1.2_23794,6.5.1.3_20373,6.5.1.4_23694 }
@data

0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.1_22506
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.10_23160
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.10_24119
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.11_23163
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.11_27331
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.12_24805
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.13_22332
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.14_23155
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.15_23162
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.16_23152
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.17_24806
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.18_23154
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.19_23149
