Cluster	EC1	EC2	EC3	EC4	EC5	EC6
1	0	0	0	0	1	0
2	0	0	0	0	1	0
3	0	0	0	0	1	0
4	0	0	0	1	0	0
5	0	0	0	0	1	0
6	0	0	0	1	0	0
7	2	0	0	0	0	0
8	1	0	0	0	0	0
9	2	0	0	0	0	0
10	1	0	0	0	0	0
11	1	0	0	0	0	0
12	3	0	0	0	0	0
13	3	0	0	0	0	0
14	1	0	0	0	0	0
15	0	1	1	0	0	0
16	0	1	0	0	0	0
17	0	1	0	0	0	0
18	0	1	0	0	0	0
19	3	0	0	0	0	0
20	1	0	0	0	0	0
21	0	1	0	0	0	0
22	0	1	0	0	0	0
23	3	0	0	0	0	0
24	0	0	0	1	0	0
25	0	1	0	0	0	0
26	0	7	0	0	0	0
27	0	1	0	0	0	0
28	0	2	0	0	0	0
29	0	3	1	0	0	0
30	0	1	0	0	0	0
31	0	1	0	0	0	0
32	0	1	0	0	0	0
33	0	1	0	0	0	0
34	0	1	0	0	0	0
35	0	0	14	5	0	0
36	0	0	1	2	0	0
37	1	0	0	0	0	0
38	0	0	0	1	0	0
39	0	0	1	0	0	0
40	1	0	0	0	0	0
41	0	2	0	0	0	0
42	0	0	1	0	0	0
43	0	0	0	0	1	0
44	0	0	0	2	0	0
45	0	0	6	2	0	0
46	0	0	0	9	0	0
47	0	0	0	1	0	0
48	0	0	0	1	0	0
49	0	0	0	1	0	0
50	1	1	0	1	7	0
51	0	0	1	0	0	0
52	0	0	1	0	0	0
53	2	0	0	0	0	0
54	1	0	0	0	0	0
55	2	0	0	0	0	0
56	1	0	0	0	0	0
57	1	0	0	1	0	0
58	1	0	0	0	0	0
59	1	0	0	0	0	0
60	3	0	0	0	0	0
61	1	0	0	0	0	0
62	1	0	0	0	0	0
63	1	0	0	0	0	0
64	1	0	0	0	0	0
65	2	0	0	0	0	0
66	1	0	0	0	0	0
67	3	0	0	0	0	0
68	1	0	0	0	0	0
69	5	0	0	0	0	0
70	2	0	0	0	0	0
71	1	0	0	0	0	0
72	3	0	0	0	0	0
73	3	0	0	0	0	0
74	9	0	0	0	0	0
75	11	0	0	0	0	0
76	143	0	0	0	0	0
77	1	0	0	0	0	0
78	6	0	0	0	0	0
79	1	0	0	0	0	0
80	2	1	0	0	0	0
81	1	0	0	0	0	0
82	10	0	0	0	0	0
83	1	0	0	0	0	0
84	2	0	0	0	6	0
85	8	0	0	0	0	0
86	6	0	0	0	0	0
87	1	0	0	0	0	0
88	2	0	0	0	0	0
89	0	1	0	0	0	0
90	0	0	0	2	0	0
91	1	0	0	0	0	0
92	9	0	0	0	0	0
93	4	0	0	0	0	0
94	2	0	0	0	0	0
95	2	0	0	0	0	0
96	1	0	0	0	0	0
97	2	0	0	0	0	0
98	2	0	0	0	0	0
99	0	0	0	3	0	0
100	0	0	0	1	0	0
101	1	0	0	0	0	0
102	0	0	0	1	0	0
103	1	0	0	0	0	0
104	7	0	0	0	0	0
105	0	0	0	2	0	0
106	0	0	0	1	0	0
107	0	0	0	0	0	1
108	0	0	0	1	0	0
109	1	2	0	0	0	0
110	4	0	0	0	0	0
111	0	0	0	0	0	2
112	0	0	0	0	0	2
113	0	0	0	0	0	1
114	0	0	0	0	0	1
115	1	0	0	0	0	0
116	1	0	0	0	0	0
117	1	0	0	0	0	0
118	1	0	0	0	0	0
119	19	0	0	0	0	0
120	2	0	0	0	0	0
121	3	0	0	0	0	0
122	61	13	0	0	0	0
123	1	0	0	0	0	0
124	1	0	0	0	0	0
125	0	0	0	17	0	0
126	1	19	0	0	4	0
127	1	0	0	0	0	0
128	1	0	0	0	2	0
129	1	0	1	0	3	0
130	4	0	0	0	0	0
131	1	0	0	0	0	0
132	5	0	0	0	0	0
133	3	0	0	0	0	0
134	0	0	10	0	0	0
135	0	0	8	0	0	0
136	2	0	0	0	0	0
137	1	0	0	0	1	0
138	0	0	1	0	0	0
139	0	0	1	0	0	0
140	0	0	1	0	0	0
141	0	0	1	0	0	0
142	1	0	0	0	0	0
143	4	0	0	0	0	0
144	1	0	0	0	0	0
