#hCluster,Method=,average,distance,Method,=,euclidean,
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,3,0,0,0,0,
Cluster2,0,0,0,0,2,0,
Cluster3,0,27,0,0,0,0,
Cluster4,0,0,3,0,0,0,
Cluster5,0,0,2,0,0,0,
Cluster6,0,0,5,0,0,0,
Cluster7,0,0,52,0,0,0,
Cluster8,24,0,1,6,0,0,

#hCluster,Method=,average,distance,Method,=,maximum
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,0,4,0,0,0,
Cluster2,0,0,2,0,0,0,
Cluster3,24,31,62,9,2,1,

#hCluster,Method=,average,distance,Method,=,manhattan
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,67,8,2,1,

#hCluster,Method=,average,distance,Method,=,canberra
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,0,2,1,0,0,
Cluster2,24,31,65,5,2,1,

#hCluster,Method=,average,distance,Method,=,binary
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,68,9,2,0,

#hCluster,Method=,average,distance,Method,=,minkowski
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,3,0,0,0,0,
Cluster2,0,0,0,0,2,0,
Cluster3,0,27,0,0,0,0,
Cluster4,0,0,3,0,0,0,
Cluster5,0,0,2,0,0,0,
Cluster6,0,0,5,0,0,0,
Cluster7,0,0,52,0,0,0,
Cluster8,24,0,1,6,0,0,

#hCluster,Method=,ward,distance,Method,=,euclidean
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,3,0,0,0,0,
Cluster2,0,27,0,0,0,0,
Cluster3,24,0,1,0,0,0,
Cluster4,0,0,67,9,2,1,

#hCluster,Method=,ward,distance,Method,=,maximum
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,1,4,68,9,2,1,
Cluster2,23,27,0,0,0,0,

#hCluster,Method=,ward,distance,Method,=,manhattan
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,3,0,0,0,0,
Cluster2,0,27,0,0,0,0,
Cluster3,24,0,1,0,0,0,
Cluster4,0,0,67,9,2,1,

#hCluster,Method=,ward,distance,Method,=,canberra
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,23,0,0,0,0,0,
Cluster2,0,3,0,0,0,0,
Cluster3,0,0,0,0,2,0,
Cluster4,0,0,2,0,0,0,
Cluster5,0,27,0,0,0,0,
Cluster6,0,0,2,0,0,0,
Cluster7,1,0,4,0,0,1,
Cluster8,0,0,6,1,0,0,
Cluster9,0,0,45,0,0,0,
Cluster10,0,0,0,8,0,0,

#hCluster,Method=,ward,distance,Method,=,binary
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,68,9,2,0,

#hCluster,Method=,ward,distance,Method,=,minkowski
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,3,0,0,0,0,
Cluster2,0,27,0,0,0,0,
Cluster3,24,0,1,0,0,0,
Cluster4,0,0,67,9,2,1,

#hCluster,Method=,single,distance,Method,=,euclidean
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,65,8,2,0,

#hCluster,Method=,single,distance,Method,=,maximum
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,68,9,2,0,

#hCluster,Method=,single,distance,Method,=,manhattan
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,65,7,2,0,

#hCluster,Method=,single,distance,Method,=,canberra
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,67,9,2,1,

#hCluster,Method=,single,distance,Method,=,binary
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,68,9,2,0,

#hCluster,Method=,single,distance,Method,=,minkowski
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,24,31,65,8,2,0,

#hCluster,Method=,complete,distance,Method,=,euclidean
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,0,0,0,2,0,
Cluster2,0,0,2,0,0,0,
Cluster3,0,0,2,0,0,0,
Cluster4,0,0,2,0,0,0,
Cluster5,0,30,0,0,0,0,
Cluster6,24,0,1,0,0,0,
Cluster7,0,0,2,0,0,0,
Cluster8,0,0,0,6,0,0,
Cluster9,0,0,51,0,0,0,

#hCluster,Method=,complete,distance,Method,=,maximum
Row,EC6.1,EC6.2,EC6.3,EC6.4,EC6.5,EC6.6,
Cluster1,0,0,11,1,0,0,
Cluster2,24,31,57,8,2,1,

